Restaurant_Name,Restaurant_URL,Number_reviews_Unsanitary,last_4_months_Number_reviews_Unsanitary,last_4_months_Number_Of_reviews,last_4_months_AVG_NLP_Ranking_System,AVG_RankingSystem,Total_Number_Of_Reviews,ImprovingNLPrating,Last_4_Months_Percentage_Unsanitary,Last_4_Months_Percentile_Unsanitary,All_Percentage_Unsanitary,All_Percentile_Unsanitary,Cause_For_Concern_Dropping_Health_Standards
Academy_Restaurant,https://www.tripadvisor.co.uk/Restaurant_Review-g186337-d2385411-Reviews-Academy_Restaurant-Liverpool_Merseyside_England.html,0,0,1,5.0,4.27,193,True,0.0,53.300000000000004,0.0,72.88,False
Alam_Balti,https://www.tripadvisor.co.uk/Restaurant_Review-g2549600-d4794641-Reviews-Alam_Balti-Bebington_Wirral_Merseyside_England.html,0,0,1,3.0,3.89,82,False,0.0,53.300000000000004,0.0,72.88,False
Albert_s_Schenke,https://www.tripadvisor.co.uk/Restaurant_Review-g186337-d17630342-Reviews-Albert_s_Schenke-Liverpool_Merseyside_England.html,1,0,37,4.1,4.13,406,False,0.0,53.300000000000004,0.25,31.05,False
Bacaro,https://www.tripadvisor.co.uk/Restaurant_Review-g186337-d6413394-Reviews-Bacaro-Liverpool_Merseyside_England.html,0,0,20,3.9,4.16,200,False,0.0,53.300000000000004,0.0,72.88,False
Basset_Hound,https://www.tripadvisor.co.uk/Restaurant_Review-g2280500-d2280502-Reviews-Basset_Hound-Thingwall_Wirral_Merseyside_England.html,4,1,21,4.02,3.79,612,True,4.76,3.3000000000000003,0.65,15.03,True
Bella_Italia,https://www.tripadvisor.co.uk/Restaurant_Review-g186337-d1011370-Reviews-Bella_Italia-Liverpool_Merseyside_England.html,0,0,45,4.21,4.11,200,True,0.0,53.300000000000004,0.0,72.88,False
Belzan,https://www.tripadvisor.co.uk/Restaurant_Review-g186337-d13273687-Reviews-Belzan-Liverpool_Merseyside_England.html,3,0,7,4.24,4.17,162,True,0.0,53.300000000000004,1.85,1.96,False
Bem_Brasil,https://www.tripadvisor.co.uk/Restaurant_Review-g186337-d1973175-Reviews-Bem_Brasil-Liverpool_Merseyside_England.html,2,0,12,4.11,4.02,200,True,0.0,53.300000000000004,1.0,6.21,False
Benricks,https://www.tripadvisor.co.uk/Restaurant_Review-g209958-d3470369-Reviews-Benricks-Birkenhead_Wirral_Merseyside_England.html,0,0,0,,3.92,166,False,,,0.0,72.88,False
Big_Bowl_Noodle_Bar,https://www.tripadvisor.co.uk/Restaurant_Review-g186337-d2540768-Reviews-Big_Bowl_Noodle_Bar-Liverpool_Merseyside_England.html,1,0,32,3.0,3.83,588,False,0.0,53.300000000000004,0.17,41.18,False
Bistro_Pierre,https://www.tripadvisor.co.uk/Restaurant_Review-g186337-d794637-Reviews-Bistro_Pierre-Liverpool_Merseyside_England.html,1,0,10,4.47,3.91,200,True,0.0,53.300000000000004,0.5,20.26,False
Blooming_Skull_Coffee,https://www.tripadvisor.co.uk/Restaurant_Review-g1076967-d10522852-Reviews-Blooming_Skull_Coffee-Port_Sunlight_Wirral_Merseyside_England.html,0,0,1,3.67,3.98,69,False,0.0,53.300000000000004,0.0,72.88,False
Bold_Street_Coffee,https://www.tripadvisor.co.uk/Restaurant_Review-g186337-d3676353-Reviews-Bold_Street_Coffee-Liverpool_Merseyside_England.html,2,2,18,3.0,3.86,445,False,11.11,2.5,0.45,24.18,True
Brasco_Lounge,https://www.tripadvisor.co.uk/Restaurant_Review-g186337-d3603132-Reviews-Brasco_Lounge-Liverpool_Merseyside_England.html,2,0,18,3.44,3.77,800,False,0.0,53.300000000000004,0.25,31.05,False
Brasserie_Loup,https://www.tripadvisor.co.uk/Restaurant_Review-g186337-d23397383-Reviews-Brasserie_Loup-Liverpool_Merseyside_England.html,0,0,0,,4.26,47,False,,,0.0,72.88,False
Bromborough_Pool_Garden_Centre,https://www.tripadvisor.co.uk/Restaurant_Review-g1096784-d8845488-Reviews-Bromborough_Pool_Garden_Centre-Bromborough_Wirral_Merseyside_England.html,0,0,0,,3.76,21,False,,,0.0,72.88,False
Caernarvon_Castle,https://www.tripadvisor.co.uk/Restaurant_Review-g3767364-d4067520-Reviews-Caernarvon_Castle-Prenton_Wirral_Merseyside_England.html,1,0,23,3.49,3.74,452,False,0.0,53.300000000000004,0.22,35.29,False
Cafe_Latino,https://www.tripadvisor.co.uk/Restaurant_Review-g186337-d1591024-Reviews-Cafe_Latino-Liverpool_Merseyside_England.html,1,0,23,3.78,4.02,607,False,0.0,53.300000000000004,0.16,42.480000000000004,False
Cantina_e_Cucina,https://www.tripadvisor.co.uk/Restaurant_Review-g186337-d13156622-Reviews-Cantina_e_Cucina-Liverpool_Merseyside_England.html,0,0,4,3.83,4.13,159,False,0.0,53.300000000000004,0.0,72.88,False
Casa_Italia,https://www.tripadvisor.co.uk/Restaurant_Review-g186337-d5244456-Reviews-Casa_Italia-Liverpool_Merseyside_England.html,2,0,18,3.85,3.92,200,False,0.0,53.300000000000004,1.0,6.21,False
Castle_St_Townhouse,https://www.tripadvisor.co.uk/Restaurant_Review-g186337-d11546998-Reviews-Castle_St_Townhouse-Liverpool_Merseyside_England.html,2,0,22,3.18,3.87,478,False,0.0,53.300000000000004,0.42,25.16,False
Chamber_36_City_Centre,https://www.tripadvisor.co.uk/Restaurant_Review-g186337-d10480792-Reviews-Chamber_36_City_Centre-Liverpool_Merseyside_England.html,2,0,49,4.18,4.19,823,False,0.0,53.300000000000004,0.24,32.35,False
China_Dina,https://www.tripadvisor.co.uk/Restaurant_Review-g186337-d19579647-Reviews-China_Dina-Liverpool_Merseyside_England.html,0,0,20,4.03,4.16,136,False,0.0,53.300000000000004,0.0,72.88,False
Christakis,https://www.tripadvisor.co.uk/Restaurant_Review-g186337-d19409648-Reviews-Christakis-Liverpool_Merseyside_England.html,1,0,24,4.25,4.25,499,False,0.0,53.300000000000004,0.2,36.6,False
Chy,https://www.tripadvisor.co.uk/Restaurant_Review-g186337-d7282351-Reviews-Chy-Liverpool_Merseyside_England.html,3,0,33,4.17,4.08,928,True,0.0,53.300000000000004,0.32,28.43,False
Cosy_Club,https://www.tripadvisor.co.uk/Restaurant_Review-g186337-d11813078-Reviews-Cosy_Club-Liverpool_Merseyside_England.html,2,0,31,3.82,3.86,834,False,0.0,53.300000000000004,0.24,32.35,False
Cowshed,https://www.tripadvisor.co.uk/Restaurant_Review-g186337-d12090449-Reviews-Cowshed-Liverpool_Merseyside_England.html,0,0,37,4.24,4.26,200,False,0.0,53.300000000000004,0.0,72.88,False
Cowshed_Restaurant,https://www.tripadvisor.co.uk/Restaurant_Review-g2139048-d1599554-Reviews-Cowshed_Restaurant-Raby_Wirral_Merseyside_England.html,3,0,0,,3.85,412,False,,,0.73,13.07,False
Dale_Street_Kitchen_bar_by_Shino,https://www.tripadvisor.co.uk/Restaurant_Review-g186337-d7886011-Reviews-Dale_Street_Kitchen_bar_by_Shino-Liverpool_Merseyside_England.html,4,0,77,3.73,4.04,859,False,0.0,53.300000000000004,0.47,23.200000000000003,False
Down_The_Hatch,https://www.tripadvisor.co.uk/Restaurant_Review-g186337-d12612472-Reviews-Down_The_Hatch-Liverpool_Merseyside_England.html,2,0,18,4.37,4.08,422,True,0.0,53.300000000000004,0.47,23.200000000000003,False
EastzEast,https://www.tripadvisor.co.uk/Restaurant_Review-g186337-d2266655-Reviews-EastzEast-Liverpool_Merseyside_England.html,1,0,11,3.36,4.15,200,False,0.0,53.300000000000004,0.5,20.26,False
Elif,https://www.tripadvisor.co.uk/Restaurant_Review-g186337-d10713404-Reviews-Elif-Liverpool_Merseyside_England.html,0,0,18,4.07,0.83,957,True,0.0,53.300000000000004,0.0,72.88,False
Elif,https://www.tripadvisor.co.uk/Restaurant_Review-g186337-d1315174-Reviews-Elif-Liverpool_Merseyside_England.html,2,0,4,3.33,3.16,957,True,0.0,53.300000000000004,0.21,35.949999999999996,False
Elixir_Oxton,https://www.tripadvisor.co.uk/Restaurant_Review-g3767364-d20252373-Reviews-Elixir_Oxton-Prenton_Wirral_Merseyside_England.html,1,0,13,4.69,4.18,112,True,0.0,53.300000000000004,0.89,10.459999999999999,False
Epirus_Greek_Restaurant,https://www.tripadvisor.co.uk/Restaurant_Review-g209958-d14350526-Reviews-Epirus_Greek_Restaurant-Birkenhead_Wirral_Merseyside_England.html,1,0,9,3.59,3.93,192,False,0.0,53.300000000000004,0.52,18.3,False
Festival_Food_and_Drink,https://www.tripadvisor.co.uk/Restaurant_Review-g186337-d14989275-Reviews-Festival_Food_and_Drink-Liverpool_Merseyside_England.html,1,0,70,4.24,4.07,574,True,0.0,53.300000000000004,0.17,41.18,False
Flanagans_Apple,https://www.tripadvisor.co.uk/Restaurant_Review-g186337-d2436069-Reviews-Flanagans_Apple-Liverpool_Merseyside_England.html,1,0,98,3.93,3.79,532,True,0.0,53.300000000000004,0.19,37.91,False
Fogo_Brazil_bar_grill,https://www.tripadvisor.co.uk/Restaurant_Review-g186337-d19170337-Reviews-Fogo_Brazil_bar_grill-Liverpool_Merseyside_England.html,1,0,65,4.16,4.2,524,False,0.0,53.300000000000004,0.19,37.91,False
Frederiks,https://www.tripadvisor.co.uk/Restaurant_Review-g186337-d5998696-Reviews-Frederiks-Liverpool_Merseyside_England.html,2,0,4,4.67,4.01,471,True,0.0,53.300000000000004,0.42,25.16,False
Frost_Burgers,https://www.tripadvisor.co.uk/Restaurant_Review-g186337-d15583943-Reviews-Frost_Burgers-Liverpool_Merseyside_England.html,0,0,2,3.33,4.03,91,False,0.0,53.300000000000004,0.0,72.88,False
Georgio_s_Fish_Chips,https://www.tripadvisor.co.uk/Restaurant_Review-g209958-d4055821-Reviews-Georgio_s_Fish_Chips-Birkenhead_Wirral_Merseyside_England.html,0,0,2,4.0,4.0,108,False,0.0,53.300000000000004,0.0,72.88,False
German_Doner_Kebab_Liverpool,https://www.tripadvisor.co.uk/Restaurant_Review-g186337-d22869577-Reviews-German_Doner_Kebab_Liverpool-Liverpool_Merseyside_England.html,0,0,40,3.85,4.1,363,False,0.0,53.300000000000004,0.0,72.88,False
Gorge_Us,https://www.tripadvisor.co.uk/Restaurant_Review-g2549600-d8797688-Reviews-Gorge_Us-Bebington_Wirral_Merseyside_England.html,0,0,0,,3.69,55,False,,,0.0,72.88,False
Greek_Taverna_Bold_Street,https://www.tripadvisor.co.uk/Restaurant_Review-g186337-d14077208-Reviews-Greek_Taverna_Bold_Street-Liverpool_Merseyside_England.html,0,0,95,4.28,4.2,200,True,0.0,53.300000000000004,0.0,72.88,False
Gusto_Liverpool,https://www.tripadvisor.co.uk/Restaurant_Review-g186337-d731160-Reviews-Gusto_Liverpool-Liverpool_Merseyside_England.html,2,0,30,4.18,3.92,200,True,0.0,53.300000000000004,1.0,6.21,False
Hanover_Street_Social,https://www.tripadvisor.co.uk/Restaurant_Review-g186337-d2277612-Reviews-Hanover_Street_Social-Liverpool_Merseyside_England.html,0,0,24,4.14,4.15,200,False,0.0,53.300000000000004,0.0,72.88,False
Happy_Garden,https://www.tripadvisor.co.uk/Restaurant_Review-g2549600-d8594911-Reviews-Happy_Garden-Bebington_Wirral_Merseyside_England.html,0,0,0,,3.6,20,False,,,0.0,72.88,False
Harvester,https://www.tripadvisor.co.uk/Restaurant_Review-g1096784-d7893333-Reviews-Harvester-Bromborough_Wirral_Merseyside_England.html,4,0,53,3.88,3.55,503,True,0.0,53.300000000000004,0.8,11.76,False
Honest_Burgers_Liverpool,https://www.tripadvisor.co.uk/Restaurant_Review-g186337-d17624816-Reviews-Honest_Burgers_Liverpool-Liverpool_Merseyside_England.html,1,0,16,3.08,4.01,136,False,0.0,53.300000000000004,0.74,12.42,False
Il_Forno,https://www.tripadvisor.co.uk/Restaurant_Review-g186337-d731159-Reviews-Il_Forno-Liverpool_Merseyside_England.html,0,0,9,4.19,3.99,200,True,0.0,53.300000000000004,0.0,72.88,False
Isabelle_s_Tea_Cakes,https://www.tripadvisor.co.uk/Restaurant_Review-g1096782-d3664861-Reviews-Isabelle_s_Tea_Cakes-Heswall_Wirral_Merseyside_England.html,0,0,2,3.33,4.06,277,False,0.0,53.300000000000004,0.0,72.88,False
Jam_Restaurant,https://www.tripadvisor.co.uk/Restaurant_Review-g186337-d10485568-Reviews-Jam_Restaurant-Liverpool_Merseyside_England.html,1,0,11,3.61,4.02,430,False,0.0,53.300000000000004,0.23,33.989999999999995,False
Jays_Bistro,https://www.tripadvisor.co.uk/Restaurant_Review-g2549600-d15535910-Reviews-Jays_Bistro-Bebington_Wirral_Merseyside_England.html,0,0,1,3.67,4.17,20,False,0.0,53.300000000000004,0.0,72.88,False
Jimmy_s_Liverpool,https://www.tripadvisor.co.uk/Restaurant_Review-g186337-d19527481-Reviews-Jimmy_s_Liverpool-Liverpool_Merseyside_England.html,1,0,2,3.67,4.2,188,False,0.0,53.300000000000004,0.53,17.65,False
Joro_Vegan_Eatery,https://www.tripadvisor.co.uk/Restaurant_Review-g209958-d13110486-Reviews-Joro_Vegan_Eatery-Birkenhead_Wirral_Merseyside_England.html,0,0,0,,3.96,73,False,,,0.0,72.88,False
Kassap_Meat_House,https://www.tripadvisor.co.uk/Restaurant_Review-g186337-d15606293-Reviews-Kassap_Meat_House-Liverpool_Merseyside_England.html,6,0,47,4.21,4.11,541,True,0.0,53.300000000000004,1.11,3.92,False
Key_Lime_Coffee,https://www.tripadvisor.co.uk/Restaurant_Review-g186337-d10809804-Reviews-Key_Lime_Coffee-Liverpool_Merseyside_England.html,3,0,4,3.33,3.96,219,False,0.0,53.300000000000004,1.37,2.6100000000000003,False
La_Famiglia,https://www.tripadvisor.co.uk/Restaurant_Review-g186337-d18917230-Reviews-La_Famiglia-Liverpool_Merseyside_England.html,0,0,27,4.31,4.18,277,True,0.0,53.300000000000004,0.0,72.88,False
La_Luce_Del_Sole,https://www.tripadvisor.co.uk/Restaurant_Review-g2549600-d13120965-Reviews-La_Luce_Del_Sole-Bebington_Wirral_Merseyside_England.html,0,0,0,,4.18,66,False,,,0.0,72.88,False
La_Parrilla_Mexican_Bar_Grill,https://www.tripadvisor.co.uk/Restaurant_Review-g186337-d13497645-Reviews-La_Parrilla_Mexican_Bar_Grill-Liverpool_Merseyside_England.html,0,0,14,3.71,3.87,200,False,0.0,53.300000000000004,0.0,72.88,False
Las_Iguanas,https://www.tripadvisor.co.uk/Restaurant_Review-g186337-d1400946-Reviews-Las_Iguanas-Liverpool_Merseyside_England.html,0,0,22,4.03,4.21,200,False,0.0,53.300000000000004,0.0,72.88,False
Lerpwl,https://www.tripadvisor.co.uk/Restaurant_Review-g186337-d21290591-Reviews-Lerpwl-Liverpool_Merseyside_England.html,3,0,17,4.29,4.15,136,True,0.0,53.300000000000004,2.21,0.65,False
Liverpool_One_Bridewell_Bar_And_Restaurant,https://www.tripadvisor.co.uk/Restaurant_Review-g186337-d2693528-Reviews-Liverpool_One_Bridewell_Bar_And_Restaurant-Liverpool_Merseyside_England.html,0,0,0,,3.9,340,False,,,0.0,72.88,False
Love_Lane_Brewery_Bar_and_Kitchen,https://www.tripadvisor.co.uk/Restaurant_Review-g186337-d13434415-Reviews-Love_Lane_Brewery_Bar_and_Kitchen-Liverpool_Merseyside_England.html,1,0,15,3.62,3.93,151,False,0.0,53.300000000000004,0.66,14.05,False
Lucy_in_the_Sky_Liverpool,https://www.tripadvisor.co.uk/Restaurant_Review-g186337-d14077338-Reviews-Lucy_in_the_Sky_Liverpool-Liverpool_Merseyside_England.html,0,0,36,4.13,3.9,293,True,0.0,53.300000000000004,0.0,72.88,False
MEET_Argentinian_Restaurant,https://www.tripadvisor.co.uk/Restaurant_Review-g186337-d795805-Reviews-MEET_Argentinian_Restaurant-Liverpool_Merseyside_England.html,0,0,11,3.36,4.01,200,False,0.0,53.300000000000004,0.0,72.88,False
Ma_Boyle_s_Alehouse_Eatery,https://www.tripadvisor.co.uk/Restaurant_Review-g186337-d5247383-Reviews-Ma_Boyle_s_Alehouse_Eatery-Liverpool_Merseyside_England.html,1,0,12,4.56,3.9,586,True,0.0,53.300000000000004,0.17,41.18,False
Maggie_Fu,https://www.tripadvisor.co.uk/Restaurant_Review-g186337-d14100376-Reviews-Maggie_Fu-Liverpool_Merseyside_England.html,0,0,26,4.54,4.11,469,True,0.0,53.300000000000004,0.0,72.88,False
Malmo_Mat,https://www.tripadvisor.co.uk/Restaurant_Review-g186337-d12833183-Reviews-Malmo_Mat-Liverpool_Merseyside_England.html,0,0,4,4.17,4.1,82,True,0.0,53.300000000000004,0.0,72.88,False
Manhattan_Bar_and_Grill,https://www.tripadvisor.co.uk/Restaurant_Review-g186337-d7159517-Reviews-Manhattan_Bar_and_Grill-Liverpool_Merseyside_England.html,0,0,11,3.79,4.05,200,False,0.0,53.300000000000004,0.0,72.88,False
Maranto_s_Restaurant,https://www.tripadvisor.co.uk/Restaurant_Review-g186337-d829195-Reviews-Maranto_s_Restaurant-Liverpool_Merseyside_England.html,1,0,3,3.89,3.99,570,False,0.0,53.300000000000004,0.18,39.54,False
Mason_s,https://www.tripadvisor.co.uk/Restaurant_Review-g186337-d17751851-Reviews-Mason_s-Liverpool_Merseyside_England.html,0,0,26,4.38,4.17,353,True,0.0,53.300000000000004,0.0,72.88,False
Mays_Thai_Kitchen,https://www.tripadvisor.co.uk/Restaurant_Review-g186337-d13753701-Reviews-Mays_Thai_Kitchen-Liverpool_Merseyside_England.html,0,0,1,3.67,3.91,60,False,0.0,53.300000000000004,0.0,72.88,False
Mezze,https://www.tripadvisor.co.uk/Restaurant_Review-g1076968-d1135134-Reviews-Mezze-Wallasey_Wirral_Merseyside_England.html,0,0,1,3.67,4.12,347,False,0.0,53.300000000000004,0.0,72.88,False
Milo_Lounge,https://www.tripadvisor.co.uk/Restaurant_Review-g186337-d5443168-Reviews-Milo_Lounge-Liverpool_Merseyside_England.html,2,0,7,3.95,3.73,495,True,0.0,53.300000000000004,0.4,26.14,False
