Restaurant_Name,Restaurant_URL,Number_reviews_Unsanitary,last_4_months_Number_reviews_Unsanitary,last_4_months_Number_Of_reviews,last_4_months_AVG_NLP_Ranking_System,AVG_RankingSystem,Total_Number_Of_Reviews,ImprovingNLPrating,Last_4_Months_Percentage_Unsanitary,Last_4_Months_Percentile_Unsanitary,All_Percentage_Unsanitary,All_Percentile_Unsanitary,Cause_For_Concern_Dropping_Health_Standards
Mowgli_Street_Food_Water_Street,https://www.tripadvisor.co.uk/Restaurant_Review-g186337-d11829477-Reviews-Mowgli_Street_Food_Water_Street-Liverpool_Merseyside_England.html,0,0,54,3.93,3.89,200,True,0.0,53.300000000000004,0.0,72.88,False
Mrs_Danvers_Bakery,https://www.tripadvisor.co.uk/Restaurant_Review-g186337-d8261888-Reviews-Mrs_Danvers_Bakery-Liverpool_Merseyside_England.html,0,0,1,1.67,4.01,167,False,0.0,53.300000000000004,0.0,72.88,False
NYL_Restaurant_Cocktail_Bar,https://www.tripadvisor.co.uk/Restaurant_Review-g186337-d7265530-Reviews-NYL_Restaurant_Cocktail_Bar-Liverpool_Merseyside_England.html,2,0,2,2.33,3.98,605,False,0.0,53.300000000000004,0.33,27.450000000000003,False
Neighbourhood,https://www.tripadvisor.co.uk/Restaurant_Review-g186337-d11800120-Reviews-Neighbourhood-Liverpool_Merseyside_England.html,8,0,29,3.76,3.96,873,False,0.0,53.300000000000004,0.92,9.8,False
Noya_Restaurant,https://www.tripadvisor.co.uk/Restaurant_Review-g209958-d8278640-Reviews-Noya_Restaurant-Birkenhead_Wirral_Merseyside_England.html,0,0,7,3.57,4.09,731,False,0.0,53.300000000000004,0.0,72.88,False
OH_ME_OH_MY,https://www.tripadvisor.co.uk/Restaurant_Review-g186337-d4893772-Reviews-OH_ME_OH_MY-Liverpool_Merseyside_England.html,1,0,3,4.11,4.01,441,True,0.0,53.300000000000004,0.23,33.989999999999995,False
Oxton_Bar_and_Kitchen,https://www.tripadvisor.co.uk/Restaurant_Review-g209958-d2163888-Reviews-Oxton_Bar_and_Kitchen-Birkenhead_Wirral_Merseyside_England.html,2,0,1,3.0,3.86,372,False,0.0,53.300000000000004,0.54,16.99,False
Paolo_Donato_s_Deli,https://www.tripadvisor.co.uk/Restaurant_Review-g186337-d2528182-Reviews-Paolo_Donato_s_Deli-Liverpool_Merseyside_England.html,1,0,12,4.78,4.05,280,True,0.0,53.300000000000004,0.36,26.8,False
Pesto_at_The_Dibbinsdale_inn,https://www.tripadvisor.co.uk/Restaurant_Review-g1096784-d4240860-Reviews-Pesto_at_The_Dibbinsdale_inn-Bromborough_Wirral_Merseyside_England.html,1,0,5,4.47,3.97,426,True,0.0,53.300000000000004,0.23,33.989999999999995,False
Petit_Cafe_Du_Coin,https://www.tripadvisor.co.uk/Restaurant_Review-g186337-d12728441-Reviews-Petit_Cafe_Du_Coin-Liverpool_Merseyside_England.html,0,0,10,4.2,4.03,119,True,0.0,53.300000000000004,0.0,72.88,False
Pho,https://www.tripadvisor.co.uk/Restaurant_Review-g186337-d12255534-Reviews-Pho-Liverpool_Merseyside_England.html,1,0,10,3.13,3.87,334,False,0.0,53.300000000000004,0.3,30.070000000000004,False
Pippin_s_Corner,https://www.tripadvisor.co.uk/Restaurant_Review-g186337-d13827597-Reviews-Pippin_s_Corner-Liverpool_Merseyside_England.html,1,0,38,4.25,4.1,678,True,0.0,53.300000000000004,0.15,43.14,False
Port_Sunlight_Museum_Tea_Rooms,https://www.tripadvisor.co.uk/Restaurant_Review-g1076967-d3865020-Reviews-Port_Sunlight_Museum_Tea_Rooms-Port_Sunlight_Wirral_Merseyside_England.html,0,0,0,,3.63,119,False,,,0.0,72.88,False
Potts_Coffee,https://www.tripadvisor.co.uk/Restaurant_Review-g186337-d19642539-Reviews-Potts_Coffee-Liverpool_Merseyside_England.html,1,0,2,3.67,4.22,78,False,0.0,53.300000000000004,1.28,3.27,False
Rococo_Coffee_House,https://www.tripadvisor.co.uk/Restaurant_Review-g186337-d2715507-Reviews-Rococo_Coffee_House-Liverpool_Merseyside_England.html,1,0,30,3.56,3.84,856,False,0.0,53.300000000000004,0.12,43.79,False
Roski,https://www.tripadvisor.co.uk/Restaurant_Review-g186337-d13340121-Reviews-Roski-Liverpool_Merseyside_England.html,2,0,11,3.97,4.2,365,False,0.0,53.300000000000004,0.55,16.34,False
Rough_Hand_Made,https://www.tripadvisor.co.uk/Restaurant_Review-g186337-d8507494-Reviews-Rough_Hand_Made-Liverpool_Merseyside_England.html,0,0,14,4.52,4.04,249,True,0.0,53.300000000000004,0.0,72.88,False
Rudy_s_Neapolitan_Pizza_Bold_Street,https://www.tripadvisor.co.uk/Restaurant_Review-g186337-d23584244-Reviews-Rudy_s_Neapolitan_Pizza_Bold_Street-Liverpool_Merseyside_England.html,1,1,59,3.87,4.06,207,False,1.69,5.0,0.48,22.220000000000002,True
Rudy_s_Neapolitan_Pizza_Castle_Street,https://www.tripadvisor.co.uk/Restaurant_Review-g186337-d15432717-Reviews-Rudy_s_Neapolitan_Pizza_Castle_Street-Liverpool_Merseyside_England.html,1,0,111,4.23,4.13,530,True,0.0,53.300000000000004,0.19,37.91,False
Rumi_By_Bukhara,https://www.tripadvisor.co.uk/Restaurant_Review-g186337-d7112132-Reviews-Rumi_By_Bukhara-Liverpool_Merseyside_England.html,0,0,0,,3.99,354,False,,,0.0,72.88,False
Salt_House,https://www.tripadvisor.co.uk/Restaurant_Review-g186337-d1853026-Reviews-Salt_House-Liverpool_Merseyside_England.html,0,0,15,3.84,4.13,200,False,0.0,53.300000000000004,0.0,72.88,False
Sawasdee,https://www.tripadvisor.co.uk/Restaurant_Review-g209958-d752119-Reviews-Sawasdee-Birkenhead_Wirral_Merseyside_England.html,0,0,3,3.0,4.09,223,False,0.0,53.300000000000004,0.0,72.88,False
Shiraz_BBQ,https://www.tripadvisor.co.uk/Restaurant_Review-g186337-d2485452-Reviews-Shiraz_BBQ-Liverpool_Merseyside_England.html,1,0,9,4.33,4.12,200,True,0.0,53.300000000000004,0.5,20.26,False
Shiraz_Palace,https://www.tripadvisor.co.uk/Restaurant_Review-g186337-d12302518-Reviews-Shiraz_Palace-Liverpool_Merseyside_England.html,0,0,129,4.14,4.17,200,False,0.0,53.300000000000004,0.0,72.88,False
Silk_Rd,https://www.tripadvisor.co.uk/Restaurant_Review-g1096782-d12583128-Reviews-Silk_Rd-Heswall_Wirral_Merseyside_England.html,3,0,18,3.81,4.09,600,False,0.0,53.300000000000004,0.5,20.26,False
Six_by_Nico,https://www.tripadvisor.co.uk/Restaurant_Review-g186337-d19418223-Reviews-Six_by_Nico-Liverpool_Merseyside_England.html,3,1,26,3.87,3.98,371,False,3.85,4.1000000000000005,0.81,11.110000000000001,True
Slim_s,https://www.tripadvisor.co.uk/Restaurant_Review-g186337-d18719875-Reviews-Slim_s-Liverpool_Merseyside_England.html,2,0,7,3.29,4.03,303,False,0.0,53.300000000000004,0.66,14.05,False
Smoke_Dough,https://www.tripadvisor.co.uk/Restaurant_Review-g186337-d19330285-Reviews-Smoke_Dough-Liverpool_Merseyside_England.html,2,0,64,4.16,4.06,622,True,0.0,53.300000000000004,0.32,28.43,False
Spice_Thai,https://www.tripadvisor.co.uk/Restaurant_Review-g186337-d11796375-Reviews-Spice_Thai-Liverpool_Merseyside_England.html,0,0,10,3.67,4.07,301,False,0.0,53.300000000000004,0.0,72.88,False
Strummers,https://www.tripadvisor.co.uk/Restaurant_Review-g209958-d3562780-Reviews-Strummers-Birkenhead_Wirral_Merseyside_England.html,0,0,2,3.67,4.12,68,False,0.0,53.300000000000004,0.0,72.88,False
Sukhothai_Thai_Restaurant_Wirral,https://www.tripadvisor.co.uk/Restaurant_Review-g209958-d10536825-Reviews-Sukhothai_Thai_Restaurant_Wirral-Birkenhead_Wirral_Merseyside_England.html,1,0,1,5.0,4.29,100,True,0.0,53.300000000000004,1.0,6.21,False
Sultan_s_Palace,https://www.tripadvisor.co.uk/Restaurant_Review-g186337-d775203-Reviews-Sultan_s_Palace-Liverpool_Merseyside_England.html,3,0,21,4.05,3.97,534,True,0.0,53.300000000000004,0.56,15.690000000000001,False
Sunlight_Restaurant_Bar,https://www.tripadvisor.co.uk/Restaurant_Review-g2549600-d3171365-Reviews-Sunlight_Restaurant_Bar-Bebington_Wirral_Merseyside_England.html,4,2,8,3.17,3.88,429,False,25.0,0.8,0.93,9.15,True
The_Art_School,https://www.tripadvisor.co.uk/Restaurant_Review-g186337-d7119231-Reviews-The_Art_School-Liverpool_Merseyside_England.html,2,0,17,4.41,4.15,200,True,0.0,53.300000000000004,1.0,6.21,False
The_Bastion_Bar_Restaurant,https://www.tripadvisor.co.uk/Restaurant_Review-g186337-d8773510-Reviews-The_Bastion_Bar_Restaurant-Liverpool_Merseyside_England.html,1,0,0,,4.11,915,False,,,0.11,44.769999999999996,False
The_Blackburne_Gastropub_Hotel,https://www.tripadvisor.co.uk/Restaurant_Review-g186337-d5162507-Reviews-The_Blackburne_Gastropub_Hotel-Liverpool_Merseyside_England.html,3,2,16,4.0,4.1,600,False,12.5,1.7000000000000002,0.5,20.26,True
The_Bridewell,https://www.tripadvisor.co.uk/Restaurant_Review-g186337-d19235075-Reviews-The_Bridewell-Liverpool_Merseyside_England.html,0,0,6,4.33,4.27,70,True,0.0,53.300000000000004,0.0,72.88,False
The_Club_House_L1_Bar_Restaurant,https://www.tripadvisor.co.uk/Restaurant_Review-g186337-d9758180-Reviews-The_Club_House_L1_Bar_Restaurant-Liverpool_Merseyside_England.html,0,0,22,3.76,3.91,200,False,0.0,53.300000000000004,0.0,72.88,False
The_Fly_in_the_Loaf,https://www.tripadvisor.co.uk/Restaurant_Review-g186337-d4039757-Reviews-The_Fly_in_the_Loaf-Liverpool_Merseyside_England.html,0,0,2,4.0,3.94,307,True,0.0,53.300000000000004,0.0,72.88,False
The_Italian_Club,https://www.tripadvisor.co.uk/Restaurant_Review-g186337-d1093796-Reviews-The_Italian_Club-Liverpool_Merseyside_England.html,1,0,60,4.13,3.99,883,True,0.0,53.300000000000004,0.11,44.769999999999996,False
The_No_9_Bar_and_Restaurant,https://www.tripadvisor.co.uk/Restaurant_Review-g186337-d17802667-Reviews-The_No_9_Bar_and_Restaurant-Liverpool_Merseyside_England.html,0,0,0,,4.33,118,False,,,0.0,72.88,False
The_Railway,https://www.tripadvisor.co.uk/Restaurant_Review-g186337-d4028455-Reviews-The_Railway-Liverpool_Merseyside_England.html,0,0,26,3.95,4.01,408,False,0.0,53.300000000000004,0.0,72.88,False
The_Smugglers_Cove_Liverpool_Bar_Restaurant,https://www.tripadvisor.co.uk/Restaurant_Review-g186337-d5500837-Reviews-The_Smugglers_Cove_Liverpool_Bar_Restaurant-Liverpool_Merseyside_England.html,0,0,55,3.95,3.94,200,True,0.0,53.300000000000004,0.0,72.88,False
The_Travellers_Rest,https://www.tripadvisor.co.uk/Restaurant_Review-g2549600-d7006785-Reviews-The_Travellers_Rest-Bebington_Wirral_Merseyside_England.html,0,0,0,,3.68,91,False,,,0.0,72.88,False
The_Turkish_BBQ_prev_Med_Kitchen_Brom,https://www.tripadvisor.co.uk/Restaurant_Review-g1096784-d15701391-Reviews-The_Turkish_BBQ_prev_Med_Kitchen_Brom-Bromborough_Wirral_Merseyside_England.html,0,0,12,4.0,4.19,223,False,0.0,53.300000000000004,0.0,72.88,False
Trattoria_51,https://www.tripadvisor.co.uk/Restaurant_Review-g186337-d5254806-Reviews-Trattoria_51-Liverpool_Merseyside_England.html,0,0,21,4.33,4.06,200,True,0.0,53.300000000000004,0.0,72.88,False
Turtle_Bay_Liverpool_Hanover_Street,https://www.tripadvisor.co.uk/Restaurant_Review-g186337-d10065998-Reviews-Turtle_Bay_Liverpool_Hanover_Street-Liverpool_Merseyside_England.html,2,2,199,4.22,4.21,200,True,1.01,5.800000000000001,1.0,6.21,True
Turtle_Bay_Liverpool_Victoria_Street,https://www.tripadvisor.co.uk/Restaurant_Review-g186337-d8780844-Reviews-Turtle_Bay_Liverpool_Victoria_Street-Liverpool_Merseyside_England.html,0,0,142,4.27,4.25,200,True,0.0,53.300000000000004,0.0,72.88,False
Villa_Romana,https://www.tripadvisor.co.uk/Restaurant_Review-g186337-d795815-Reviews-Villa_Romana-Liverpool_Merseyside_England.html,3,0,48,4.17,4.0,968,True,0.0,53.300000000000004,0.31,29.409999999999997,False
Villa_Venezia,https://www.tripadvisor.co.uk/Restaurant_Review-g209958-d1089675-Reviews-Villa_Venezia-Birkenhead_Wirral_Merseyside_England.html,3,0,1,3.67,3.76,308,False,0.0,53.300000000000004,0.97,8.5,False
Viva_Brazil,https://www.tripadvisor.co.uk/Restaurant_Review-g186337-d1917227-Reviews-Viva_Brazil-Liverpool_Merseyside_England.html,4,0,34,4.02,4.02,200,False,0.0,53.300000000000004,2.0,1.31,False
Yard_Coop,https://www.tripadvisor.co.uk/Restaurant_Review-g186337-d11908113-Reviews-Yard_Coop-Liverpool_Merseyside_England.html,0,0,26,4.18,3.97,200,True,0.0,53.300000000000004,0.0,72.88,False
Yukti_Indian_Street_Fusion,https://www.tripadvisor.co.uk/Restaurant_Review-g186337-d12949585-Reviews-Yukti_Indian_Street_Fusion-Liverpool_Merseyside_England.html,1,0,33,4.09,4.19,571,False,0.0,53.300000000000004,0.18,39.54,False
g1076968,https://www.tripadvisor.co.uk/ShowUserReviews-g1076968-d15611195-r837562297-Poseidon_Restaurant-Wallasey_Wirral_Merseyside_England.html,0,0,92,3.67,3.93,115,False,0.0,53.300000000000004,0.0,72.88,False
g186337,https://www.tripadvisor.co.uk/ShowUserReviews-g186337-d10485568-r688875606-Jam_Restaurant-Liverpool_Merseyside_England.html,0,0,0,,0.3,3190,False,,,0.0,72.88,False
g186337,https://www.tripadvisor.co.uk/ShowUserReviews-g186337-d10635008-r836013461-Sanskruti_Restaurant-Liverpool_Merseyside_England.html,0,0,176,4.67,0.31,3190,True,0.0,53.300000000000004,0.0,72.88,False
g186337,https://www.tripadvisor.co.uk/ShowUserReviews-g186337-d1126525-r836152919-Panam_Restaurant_And_Bar-Liverpool_Merseyside_England.html,0,0,100,3.8,0.12,3190,True,0.0,53.300000000000004,0.0,72.88,False
g186337,https://www.tripadvisor.co.uk/ShowUserReviews-g186337-d1126525-r836562622-Panam_Restaurant_And_Bar-Liverpool_Merseyside_England.html,0,0,100,3.67,0.11,3190,True,0.0,53.300000000000004,0.0,72.88,False
g186337,https://www.tripadvisor.co.uk/ShowUserReviews-g186337-d1205012-r828641037-Etsu_Japanese_Restaurant-Liverpool_Merseyside_England.html,0,0,0,,0.14,3190,False,,,0.0,72.88,False
g186337,https://www.tripadvisor.co.uk/ShowUserReviews-g186337-d12827197-r827855105-Aldente_Restaurant_Bar-Liverpool_Merseyside_England.html,0,0,0,,0.46,3190,False,,,0.0,72.88,False
g186337,https://www.tripadvisor.co.uk/ShowUserReviews-g186337-d12827197-r828680837-Aldente_Restaurant_Bar-Liverpool_Merseyside_England.html,0,0,0,,0.51,3190,False,,,0.0,72.88,False
g186337,https://www.tripadvisor.co.uk/ShowUserReviews-g186337-d17802667-r794385842-The_No_9_Bar_and_Restaurant-Liverpool_Merseyside_England.html,0,0,0,,0.08,3190,False,,,0.0,72.88,False
g186337,https://www.tripadvisor.co.uk/ShowUserReviews-g186337-d18980966-r835809449-Lu_Ban_Bar_and_Restaurant-Liverpool_Merseyside_England.html,0,0,165,3.67,0.19,3190,True,0.0,53.300000000000004,0.0,72.88,False
g186337,https://www.tripadvisor.co.uk/ShowUserReviews-g186337-d18980966-r838684829-Lu_Ban_Bar_and_Restaurant-Liverpool_Merseyside_England.html,0,0,165,4.07,0.21,3190,True,0.0,53.300000000000004,0.0,72.88,False
g186337,https://www.tripadvisor.co.uk/ShowUserReviews-g186337-d2693528-r824456071-Liverpool_One_Bridewell_Bar_And_Restaurant-Liverpool_Merseyside_England.html,0,0,0,,0.23,3190,False,,,0.0,72.88,False
g186337,https://www.tripadvisor.co.uk/ShowUserReviews-g186337-d2693528-r827369976-Liverpool_One_Bridewell_Bar_And_Restaurant-Liverpool_Merseyside_England.html,0,0,0,,0.25,3190,False,,,0.0,72.88,False
g186337,https://www.tripadvisor.co.uk/ShowUserReviews-g186337-d5500837-r789995562-The_Smugglers_Cove_Liverpool_Bar_Restaurant-Liverpool_Merseyside_England.html,0,0,0,,0.11,3190,False,,,0.0,72.88,False
g186337,https://www.tripadvisor.co.uk/ShowUserReviews-g186337-d5500837-r795693344-The_Smugglers_Cove_Liverpool_Bar_Restaurant-Liverpool_Merseyside_England.html,0,0,0,,0.13,3190,False,,,0.0,72.88,False
g186337,https://www.tripadvisor.co.uk/ShowUserReviews-g186337-d795805-r736313039-MEET_Argentinian_Restaurant-Liverpool_Merseyside_England.html,0,0,0,,0.11,3190,False,,,0.0,72.88,False
g186337,https://www.tripadvisor.co.uk/ShowUserReviews-g186337-d8773510-r829266609-The_Bastion_Bar_Restaurant-Liverpool_Merseyside_England.html,0,0,0,,0.64,3190,False,,,0.0,72.88,False
g186337,https://www.tripadvisor.co.uk/ShowUserReviews-g186337-d9758180-r814271221-The_Club_House_L1_Bar_Restaurant-Liverpool_Merseyside_England.html,0,0,0,,0.12,3190,False,,,0.0,72.88,False
g186337,https://www.tripadvisor.co.uk/ShowUserReviews-g186337-d9758180-r823285974-The_Club_House_L1_Bar_Restaurant-Liverpool_Merseyside_England.html,0,0,0,,0.11,3190,False,,,0.0,72.88,False
g209958,https://www.tripadvisor.co.uk/ShowUserReviews-g209958-d10536825-r832933498-Sukhothai_Thai_Restaurant_Wirral-Birkenhead_Wirral_Merseyside_England.html,0,0,10,5.0,0.87,250,True,0.0,53.300000000000004,0.0,72.88,False
g209958,https://www.tripadvisor.co.uk/ShowUserReviews-g209958-d14350526-r692989022-Epirus_Greek_Restaurant-Birkenhead_Wirral_Merseyside_England.html,0,0,0,,1.47,250,False,,,0.0,72.88,False
g209958,https://www.tripadvisor.co.uk/ShowUserReviews-g209958-d14350526-r725023893-Epirus_Greek_Restaurant-Birkenhead_Wirral_Merseyside_England.html,0,0,0,,1.47,250,False,,,0.0,72.88,False
g2139048,https://www.tripadvisor.co.uk/ShowUserReviews-g2139048-d1599554-r823493885-Cowshed_Restaurant-Raby_Wirral_Merseyside_England.html,0,0,0,,1.97,420,False,,,0.0,72.88,False
g2139048,https://www.tripadvisor.co.uk/ShowUserReviews-g2139048-d1599554-r828633539-Cowshed_Restaurant-Raby_Wirral_Merseyside_England.html,0,0,0,,2.03,420,False,,,0.0,72.88,False
g2549600,https://www.tripadvisor.co.uk/ShowUserReviews-g2549600-d3171365-r727574040-Sunlight_Restaurant_Bar-Bebington_Wirral_Merseyside_England.html,0,0,0,,4.07,215,False,,,0.0,72.88,False
