Restaurant_URL,RankingSystem,Rank,Percentile,Unnamed: 0,URL,MaxPossibleScrapedReviews,RestaurantReviewActual,RatedExcellent,RatedVery_good,RatedAverage,RatedPoor,RatedTerrible,Number_of_Reviews_by_Restaurant,AVG_original_rating,original_rank,original_percentile,Rank Change new-original,Percentile Change new-original
https://www.tripadvisor.co.uk/Restaurant_Review-g1076967-d10522852-Reviews-Blooming_Skull_Coffee-Port_Sunlight_Wirral_Merseyside_England.html,3.975845410628019,98.0,64.1,149,https://www.tripadvisor.co.uk/Restaurant_Review-g1076967-d10522852-Reviews-Blooming_Skull_Coffee-Port_Sunlight_Wirral_Merseyside_England.html,69,69,58.0,7.0,1.0,1.0,2.0,69.0,4.71,38.0,29.0,60.0,35.099999999999994
https://www.tripadvisor.co.uk/Restaurant_Review-g1076967-d3865020-Reviews-Port_Sunlight_Museum_Tea_Rooms-Port_Sunlight_Wirral_Merseyside_England.html,3.6330532212885154,149.0,97.4,34,https://www.tripadvisor.co.uk/Restaurant_Review-g1076967-d3865020-Reviews-Port_Sunlight_Museum_Tea_Rooms-Port_Sunlight_Wirral_Merseyside_England.html,119,119,37.0,53.0,19.0,4.0,6.0,119.0,3.933,128.5,98.1,20.5,-0.6999999999999886
https://www.tripadvisor.co.uk/Restaurant_Review-g1076968-d1135134-Reviews-Mezze-Wallasey_Wirral_Merseyside_England.html,4.120076849183477,45.0,29.4,124,https://www.tripadvisor.co.uk/Restaurant_Review-g1076968-d1135134-Reviews-Mezze-Wallasey_Wirral_Merseyside_England.html,347,347,274.0,58.0,11.0,2.0,2.0,347.0,4.729,32.0,24.4,13.0,5.0
https://www.tripadvisor.co.uk/Restaurant_Review-g1096782-d12583128-Reviews-Silk_Rd-Heswall_Wirral_Merseyside_England.html,4.093333333333334,57.0,37.3,65,https://www.tripadvisor.co.uk/Restaurant_Review-g1096782-d12583128-Reviews-Silk_Rd-Heswall_Wirral_Merseyside_England.html,603,600,458.0,78.0,32.0,20.0,12.0,600.0,4.583,57.0,43.5,0.0,-6.200000000000003
https://www.tripadvisor.co.uk/Restaurant_Review-g1096782-d3664861-Reviews-Isabelle_s_Tea_Cakes-Heswall_Wirral_Merseyside_England.html,4.058965102286401,69.0,45.1,43,https://www.tripadvisor.co.uk/Restaurant_Review-g1096782-d3664861-Reviews-Isabelle_s_Tea_Cakes-Heswall_Wirral_Merseyside_England.html,277,277,222.0,41.0,9.0,3.0,2.0,277.0,4.726,33.5,25.6,35.5,19.5
https://www.tripadvisor.co.uk/Restaurant_Review-g1096784-d15701391-Reviews-The_Turkish_BBQ_prev_Med_Kitchen_Brom-Bromborough_Wirral_Merseyside_England.html,4.1898355754858,25.0,16.3,82,https://www.tripadvisor.co.uk/Restaurant_Review-g1096784-d15701391-Reviews-The_Turkish_BBQ_prev_Med_Kitchen_Brom-Bromborough_Wirral_Merseyside_England.html,224,223,185.0,16.0,4.0,8.0,10.0,223.0,4.605,53.0,40.5,-28.0,-24.2
https://www.tripadvisor.co.uk/Restaurant_Review-g1096784-d4240860-Reviews-Pesto_at_The_Dibbinsdale_inn-Bromborough_Wirral_Merseyside_England.html,3.968701095461659,100.0,65.4,143,https://www.tripadvisor.co.uk/Restaurant_Review-g1096784-d4240860-Reviews-Pesto_at_The_Dibbinsdale_inn-Bromborough_Wirral_Merseyside_England.html,427,426,263.0,102.0,33.0,16.0,12.0,426.0,4.38,89.0,67.9,11.0,-2.5
https://www.tripadvisor.co.uk/Restaurant_Review-g1096784-d7893333-Reviews-Harvester-Bromborough_Wirral_Merseyside_England.html,3.5513585155732272,151.0,98.7,42,https://www.tripadvisor.co.uk/Restaurant_Review-g1096784-d7893333-Reviews-Harvester-Bromborough_Wirral_Merseyside_England.html,503,503,223.0,80.0,50.0,62.0,88.0,503.0,3.573,131.0,100.0,20.0,-1.2999999999999972
https://www.tripadvisor.co.uk/Restaurant_Review-g1096784-d8845488-Reviews-Bromborough_Pool_Garden_Centre-Bromborough_Wirral_Merseyside_England.html,3.761904761904762,138.0,90.2,9,https://www.tripadvisor.co.uk/Restaurant_Review-g1096784-d8845488-Reviews-Bromborough_Pool_Garden_Centre-Bromborough_Wirral_Merseyside_England.html,21,21,20.0,1.0,0.0,0.0,0.0,21.0,4.952,4.0,3.1,134.0,87.10000000000001
https://www.tripadvisor.co.uk/Restaurant_Review-g186337-d10065998-Reviews-Turtle_Bay_Liverpool_Hanover_Street-Liverpool_Merseyside_England.html,4.213333333333333,17.0,11.1,37,https://www.tripadvisor.co.uk/Restaurant_Review-g186337-d10065998-Reviews-Turtle_Bay_Liverpool_Hanover_Street-Liverpool_Merseyside_England.html,0,200,1599.0,219.0,70.0,48.0,45.0,1981.0,4.655,50.0,38.2,-33.0,-27.1
https://www.tripadvisor.co.uk/Restaurant_Review-g186337-d1011370-Reviews-Bella_Italia-Liverpool_Merseyside_England.html,4.11,49.0,32.0,46,https://www.tripadvisor.co.uk/Restaurant_Review-g186337-d1011370-Reviews-Bella_Italia-Liverpool_Merseyside_England.html,0,200,847.0,339.0,206.0,156.0,200.0,1748.0,3.845,130.0,99.2,-81.0,-67.2
https://www.tripadvisor.co.uk/Restaurant_Review-g186337-d10480792-Reviews-Chamber_36_City_Centre-Liverpool_Merseyside_England.html,4.186715269339813,27.0,17.6,51,https://www.tripadvisor.co.uk/Restaurant_Review-g186337-d10480792-Reviews-Chamber_36_City_Centre-Liverpool_Merseyside_England.html,824,823,665.0,94.0,28.0,12.0,14.0,813.0,4.702,40.0,30.5,-13.0,-12.899999999999999
https://www.tripadvisor.co.uk/Restaurant_Review-g186337-d10485568-Reviews-Jam_Restaurant-Liverpool_Merseyside_England.html,4.024806201550388,78.0,51.0,122,https://www.tripadvisor.co.uk/Restaurant_Review-g186337-d10485568-Reviews-Jam_Restaurant-Liverpool_Merseyside_England.html,432,430,307.0,48.0,32.0,20.0,23.0,430.0,4.386,87.0,66.4,-9.0,-15.400000000000006
https://www.tripadvisor.co.uk/Restaurant_Review-g186337-d10713404-Reviews-Elif-Liverpool_Merseyside_England.html,3.986666666666667,95.0,62.1,71,https://www.tripadvisor.co.uk/Restaurant_Review-g186337-d10713404-Reviews-Elif-Liverpool_Merseyside_England.html,0,200,2952.0,188.0,29.0,18.0,32.0,3219.0,4.867,8.0,6.1,87.0,56.0
https://www.tripadvisor.co.uk/Restaurant_Review-g186337-d10809804-Reviews-Key_Lime_Coffee-Liverpool_Merseyside_England.html,3.958904109589041,102.5,67.0,61,https://www.tripadvisor.co.uk/Restaurant_Review-g186337-d10809804-Reviews-Key_Lime_Coffee-Liverpool_Merseyside_England.html,211,219,163.0,25.0,7.0,9.0,5.0,209.0,4.589,55.0,42.0,47.5,25.0
https://www.tripadvisor.co.uk/Restaurant_Review-g186337-d1093796-Reviews-The_Italian_Club-Liverpool_Merseyside_England.html,3.9882974707436767,94.0,61.4,22,https://www.tripadvisor.co.uk/Restaurant_Review-g186337-d1093796-Reviews-The_Italian_Club-Liverpool_Merseyside_England.html,881,883,495.0,214.0,71.0,26.0,27.0,833.0,4.349,95.0,72.5,-1.0,-11.100000000000001
https://www.tripadvisor.co.uk/Restaurant_Review-g186337-d11546998-Reviews-Castle_St_Townhouse-Liverpool_Merseyside_England.html,3.8702928870292888,125.0,81.7,81,https://www.tripadvisor.co.uk/Restaurant_Review-g186337-d11546998-Reviews-Castle_St_Townhouse-Liverpool_Merseyside_England.html,472,478,299.0,72.0,41.0,23.0,33.0,468.0,4.241,107.0,81.7,18.0,0.0
https://www.tripadvisor.co.uk/Restaurant_Review-g186337-d11796375-Reviews-Spice_Thai-Liverpool_Merseyside_England.html,4.069767441860465,62.0,40.5,12,https://www.tripadvisor.co.uk/Restaurant_Review-g186337-d11796375-Reviews-Spice_Thai-Liverpool_Merseyside_England.html,304,301,215.0,40.0,8.0,10.0,18.0,291.0,4.457,79.0,60.3,-17.0,-19.799999999999997
https://www.tripadvisor.co.uk/Restaurant_Review-g186337-d11800120-Reviews-Neighbourhood-Liverpool_Merseyside_England.html,3.9553264604811,104.0,68.0,4,https://www.tripadvisor.co.uk/Restaurant_Review-g186337-d11800120-Reviews-Neighbourhood-Liverpool_Merseyside_England.html,875,873,585.0,102.0,47.0,54.0,85.0,873.0,4.2,113.0,86.3,-9.0,-18.299999999999997
https://www.tripadvisor.co.uk/Restaurant_Review-g186337-d11813078-Reviews-Cosy_Club-Liverpool_Merseyside_England.html,3.8609112709832134,130.0,85.0,157,https://www.tripadvisor.co.uk/Restaurant_Review-g186337-d11813078-Reviews-Cosy_Club-Liverpool_Merseyside_England.html,832,834,432.0,202.0,92.0,50.0,38.0,814.0,4.155,115.0,87.8,15.0,-2.799999999999997
https://www.tripadvisor.co.uk/Restaurant_Review-g186337-d11829477-Reviews-Mowgli_Street_Food_Water_Street-Liverpool_Merseyside_England.html,3.893333333333333,123.0,80.4,120,https://www.tripadvisor.co.uk/Restaurant_Review-g186337-d11829477-Reviews-Mowgli_Street_Food_Water_Street-Liverpool_Merseyside_England.html,0,200,1230.0,284.0,134.0,65.0,47.0,1760.0,4.469,78.0,59.5,45.0,20.900000000000006
https://www.tripadvisor.co.uk/Restaurant_Review-g186337-d11908113-Reviews-Yard_Coop-Liverpool_Merseyside_England.html,3.97,99.0,64.7,112,https://www.tripadvisor.co.uk/Restaurant_Review-g186337-d11908113-Reviews-Yard_Coop-Liverpool_Merseyside_England.html,0,200,800.0,170.0,77.0,40.0,28.0,1115.0,4.501,70.0,53.4,29.0,11.300000000000004
https://www.tripadvisor.co.uk/Restaurant_Review-g186337-d12090449-Reviews-Cowshed-Liverpool_Merseyside_England.html,4.256666666666667,13.0,8.5,53,https://www.tripadvisor.co.uk/Restaurant_Review-g186337-d12090449-Reviews-Cowshed-Liverpool_Merseyside_England.html,0,200,1248.0,112.0,41.0,12.0,6.0,1419.0,4.821,18.0,13.7,-5.0,-5.199999999999999
https://www.tripadvisor.co.uk/Restaurant_Review-g186337-d12255534-Reviews-Pho-Liverpool_Merseyside_England.html,3.8702594810379245,126.0,82.4,44,https://www.tripadvisor.co.uk/Restaurant_Review-g186337-d12255534-Reviews-Pho-Liverpool_Merseyside_England.html,335,334,199.0,67.0,27.0,18.0,13.0,324.0,4.299,98.0,74.8,28.0,7.6000000000000085
https://www.tripadvisor.co.uk/Restaurant_Review-g186337-d12302518-Reviews-Shiraz_Palace-Liverpool_Merseyside_England.html,4.17,32.0,20.9,52,https://www.tripadvisor.co.uk/Restaurant_Review-g186337-d12302518-Reviews-Shiraz_Palace-Liverpool_Merseyside_England.html,0,200,1305.0,159.0,43.0,19.0,17.0,1543.0,4.76,27.0,20.6,5.0,0.29999999999999716
https://www.tripadvisor.co.uk/Restaurant_Review-g186337-d12612472-Reviews-Down_The_Hatch-Liverpool_Merseyside_England.html,4.083728278041074,59.0,38.6,20,https://www.tripadvisor.co.uk/Restaurant_Review-g186337-d12612472-Reviews-Down_The_Hatch-Liverpool_Merseyside_England.html,426,422,304.0,61.0,27.0,16.0,14.0,422.0,4.481,74.0,56.5,-15.0,-17.9
https://www.tripadvisor.co.uk/Restaurant_Review-g186337-d12728441-Reviews-Petit_Cafe_Du_Coin-Liverpool_Merseyside_England.html,4.025210084033613,77.0,50.3,92,https://www.tripadvisor.co.uk/Restaurant_Review-g186337-d12728441-Reviews-Petit_Cafe_Du_Coin-Liverpool_Merseyside_England.html,114,119,88.0,17.0,1.0,1.0,2.0,109.0,4.725,35.0,26.7,42.0,23.599999999999998
https://www.tripadvisor.co.uk/Restaurant_Review-g186337-d12833183-Reviews-Malmo_Mat-Liverpool_Merseyside_England.html,4.097560975609756,55.0,35.9,6,https://www.tripadvisor.co.uk/Restaurant_Review-g186337-d12833183-Reviews-Malmo_Mat-Liverpool_Merseyside_England.html,86,82,70.0,11.0,1.0,0.0,0.0,82.0,4.841,11.0,8.4,44.0,27.5
https://www.tripadvisor.co.uk/Restaurant_Review-g186337-d12949585-Reviews-Yukti_Indian_Street_Fusion-Liverpool_Merseyside_England.html,4.189725627553999,26.0,17.0,154,https://www.tripadvisor.co.uk/Restaurant_Review-g186337-d12949585-Reviews-Yukti_Indian_Street_Fusion-Liverpool_Merseyside_England.html,580,571,458.0,66.0,8.0,7.0,12.0,551.0,4.726,33.5,25.6,-7.5,-8.600000000000001
https://www.tripadvisor.co.uk/Restaurant_Review-g186337-d1315174-Reviews-Elif-Liverpool_Merseyside_England.html,3.9977983267283137,89.0,58.2,77,https://www.tripadvisor.co.uk/Restaurant_Review-g186337-d1315174-Reviews-Elif-Liverpool_Merseyside_England.html,759,757,526.0,141.0,37.0,18.0,25.0,747.0,4.506,69.0,52.7,20.0,5.5
https://www.tripadvisor.co.uk/Restaurant_Review-g186337-d13156622-Reviews-Cantina_e_Cucina-Liverpool_Merseyside_England.html,4.127882599580713,43.0,28.1,0,https://www.tripadvisor.co.uk/Restaurant_Review-g186337-d13156622-Reviews-Cantina_e_Cucina-Liverpool_Merseyside_England.html,159,159,136.0,15.0,5.0,1.0,2.0,159.0,4.774,24.0,18.3,19.0,9.8
https://www.tripadvisor.co.uk/Restaurant_Review-g186337-d13273687-Reviews-Belzan-Liverpool_Merseyside_England.html,4.172839506172839,31.0,20.3,13,https://www.tripadvisor.co.uk/Restaurant_Review-g186337-d13273687-Reviews-Belzan-Liverpool_Merseyside_England.html,166,162,136.0,16.0,5.0,3.0,2.0,162.0,4.735,30.5,23.3,0.5,-3.0
https://www.tripadvisor.co.uk/Restaurant_Review-g186337-d13340121-Reviews-Roski-Liverpool_Merseyside_England.html,4.19634703196347,23.0,15.0,63,https://www.tripadvisor.co.uk/Restaurant_Review-g186337-d13340121-Reviews-Roski-Liverpool_Merseyside_England.html,367,365,301.0,31.0,21.0,4.0,8.0,365.0,4.679,44.0,33.6,-21.0,-18.6
https://www.tripadvisor.co.uk/Restaurant_Review-g186337-d13434415-Reviews-Love_Lane_Brewery_Bar_and_Kitchen-Liverpool_Merseyside_England.html,3.931567328918322,111.0,72.5,24,https://www.tripadvisor.co.uk/Restaurant_Review-g186337-d13434415-Reviews-Love_Lane_Brewery_Bar_and_Kitchen-Liverpool_Merseyside_England.html,154,151,102.0,27.0,11.0,5.0,6.0,151.0,4.417,82.0,62.6,29.0,9.899999999999999
https://www.tripadvisor.co.uk/Restaurant_Review-g186337-d13497645-Reviews-La_Parrilla_Mexican_Bar_Grill-Liverpool_Merseyside_England.html,3.87,127.0,83.0,130,https://www.tripadvisor.co.uk/Restaurant_Review-g186337-d13497645-Reviews-La_Parrilla_Mexican_Bar_Grill-Liverpool_Merseyside_England.html,0,200,2398.0,115.0,37.0,35.0,40.0,2625.0,4.827,15.0,11.5,112.0,71.5
https://www.tripadvisor.co.uk/Restaurant_Review-g186337-d13753701-Reviews-Mays_Thai_Kitchen-Liverpool_Merseyside_England.html,3.911111111111111,116.0,75.8,107,https://www.tripadvisor.co.uk/Restaurant_Review-g186337-d13753701-Reviews-Mays_Thai_Kitchen-Liverpool_Merseyside_England.html,60,60,60.0,0.0,0.0,0.0,0.0,60.0,5.0,1.0,0.8,115.0,75.0
https://www.tripadvisor.co.uk/Restaurant_Review-g186337-d13827597-Reviews-Pippin_s_Corner-Liverpool_Merseyside_England.html,4.0993117010816125,54.0,35.3,150,https://www.tripadvisor.co.uk/Restaurant_Review-g186337-d13827597-Reviews-Pippin_s_Corner-Liverpool_Merseyside_England.html,680,678,615.0,36.0,10.0,9.0,8.0,678.0,4.83,14.0,10.7,40.0,24.599999999999998
https://www.tripadvisor.co.uk/Restaurant_Review-g186337-d1400946-Reviews-Las_Iguanas-Liverpool_Merseyside_England.html,4.206666666666667,18.0,11.8,94,https://www.tripadvisor.co.uk/Restaurant_Review-g186337-d1400946-Reviews-Las_Iguanas-Liverpool_Merseyside_England.html,0,200,996.0,384.0,167.0,73.0,76.0,1696.0,4.268,102.0,77.9,-84.0,-66.10000000000001
https://www.tripadvisor.co.uk/Restaurant_Review-g186337-d14077208-Reviews-Greek_Taverna_Bold_Street-Liverpool_Merseyside_England.html,4.203333333333333,19.0,12.4,103,https://www.tripadvisor.co.uk/Restaurant_Review-g186337-d14077208-Reviews-Greek_Taverna_Bold_Street-Liverpool_Merseyside_England.html,0,200,1461.0,101.0,32.0,14.0,5.0,1613.0,4.859,10.0,7.6,9.0,4.800000000000001
https://www.tripadvisor.co.uk/Restaurant_Review-g186337-d14077338-Reviews-Lucy_in_the_Sky_Liverpool-Liverpool_Merseyside_England.html,3.898748577929465,121.0,79.1,10,https://www.tripadvisor.co.uk/Restaurant_Review-g186337-d14077338-Reviews-Lucy_in_the_Sky_Liverpool-Liverpool_Merseyside_England.html,291,293,252.0,12.0,5.0,0.0,4.0,273.0,4.861,9.0,6.9,112.0,72.19999999999999
https://www.tripadvisor.co.uk/Restaurant_Review-g186337-d14100376-Reviews-Maggie_Fu-Liverpool_Merseyside_England.html,4.107320540156361,50.0,32.7,11,https://www.tripadvisor.co.uk/Restaurant_Review-g186337-d14100376-Reviews-Maggie_Fu-Liverpool_Merseyside_England.html,469,469,385.0,25.0,16.0,15.0,28.0,469.0,4.544,64.0,48.9,-14.0,-16.199999999999996
https://www.tripadvisor.co.uk/Restaurant_Review-g186337-d14989275-Reviews-Festival_Food_and_Drink-Liverpool_Merseyside_England.html,4.070847851335656,61.0,39.9,73,https://www.tripadvisor.co.uk/Restaurant_Review-g186337-d14989275-Reviews-Festival_Food_and_Drink-Liverpool_Merseyside_England.html,575,574,399.0,52.0,21.0,6.0,6.0,484.0,4.719,36.5,27.9,24.5,12.0
https://www.tripadvisor.co.uk/Restaurant_Review-g186337-d15432717-Reviews-Rudy_s_Neapolitan_Pizza_Castle_Street-Liverpool_Merseyside_England.html,4.130817610062893,41.0,26.8,56,https://www.tripadvisor.co.uk/Restaurant_Review-g186337-d15432717-Reviews-Rudy_s_Neapolitan_Pizza_Castle_Street-Liverpool_Merseyside_England.html,687,530,550.0,43.0,27.0,18.0,17.0,655.0,4.666,47.0,35.9,-6.0,-9.099999999999998
https://www.tripadvisor.co.uk/Restaurant_Review-g186337-d15583943-Reviews-Frost_Burgers-Liverpool_Merseyside_England.html,4.032967032967033,75.0,49.0,126,https://www.tripadvisor.co.uk/Restaurant_Review-g186337-d15583943-Reviews-Frost_Burgers-Liverpool_Merseyside_England.html,91,91,77.0,7.0,6.0,0.0,1.0,91.0,4.747,28.0,21.4,47.0,27.6
https://www.tripadvisor.co.uk/Restaurant_Review-g186337-d15606293-Reviews-Kassap_Meat_House-Liverpool_Merseyside_England.html,4.113986444855206,48.0,31.4,142,https://www.tripadvisor.co.uk/Restaurant_Review-g186337-d15606293-Reviews-Kassap_Meat_House-Liverpool_Merseyside_England.html,549,541,412.0,32.0,26.0,18.0,23.0,511.0,4.55,61.5,46.9,-13.5,-15.5
https://www.tripadvisor.co.uk/Restaurant_Review-g186337-d1591024-Reviews-Cafe_Latino-Liverpool_Merseyside_England.html,4.015925315760571,81.0,52.9,30,https://www.tripadvisor.co.uk/Restaurant_Review-g186337-d1591024-Reviews-Cafe_Latino-Liverpool_Merseyside_England.html,606,607,417.0,96.0,23.0,16.0,45.0,597.0,4.38,89.0,67.9,-8.0,-15.000000000000007
https://www.tripadvisor.co.uk/Restaurant_Review-g186337-d17624816-Reviews-Honest_Burgers_Liverpool-Liverpool_Merseyside_England.html,4.014705882352941,82.0,53.6,108,https://www.tripadvisor.co.uk/Restaurant_Review-g186337-d17624816-Reviews-Honest_Burgers_Liverpool-Liverpool_Merseyside_England.html,132,136,91.0,21.0,6.0,4.0,4.0,126.0,4.516,68.0,51.9,14.0,1.7000000000000028
https://www.tripadvisor.co.uk/Restaurant_Review-g186337-d17630342-Reviews-Albert_s_Schenke-Liverpool_Merseyside_England.html,4.126436781609195,44.0,28.8,40,https://www.tripadvisor.co.uk/Restaurant_Review-g186337-d17630342-Reviews-Albert_s_Schenke-Liverpool_Merseyside_England.html,402,406,282.0,59.0,30.0,12.0,13.0,396.0,4.477,76.0,58.0,-32.0,-29.2
https://www.tripadvisor.co.uk/Restaurant_Review-g186337-d17751851-Reviews-Mason_s-Liverpool_Merseyside_England.html,4.1671388101983,33.0,21.6,49,https://www.tripadvisor.co.uk/Restaurant_Review-g186337-d17751851-Reviews-Mason_s-Liverpool_Merseyside_England.html,354,353,305.0,19.0,12.0,6.0,11.0,353.0,4.703,39.0,29.8,-6.0,-8.2
https://www.tripadvisor.co.uk/Restaurant_Review-g186337-d17802667-Reviews-The_No_9_Bar_and_Restaurant-Liverpool_Merseyside_England.html,4.327683615819209,8.0,5.2,54,https://www.tripadvisor.co.uk/Restaurant_Review-g186337-d17802667-Reviews-The_No_9_Bar_and_Restaurant-Liverpool_Merseyside_England.html,118,118,108.0,5.0,2.0,1.0,2.0,118.0,4.831,13.0,9.9,-5.0,-4.7
https://www.tripadvisor.co.uk/Restaurant_Review-g186337-d1853026-Reviews-Salt_House-Liverpool_Merseyside_England.html,4.13,42.0,27.5,161,https://www.tripadvisor.co.uk/Restaurant_Review-g186337-d1853026-Reviews-Salt_House-Liverpool_Merseyside_England.html,0,200,1665.0,674.0,179.0,76.0,51.0,2645.0,4.447,80.0,61.1,-38.0,-33.6
https://www.tripadvisor.co.uk/Restaurant_Review-g186337-d18719875-Reviews-Slim_s-Liverpool_Merseyside_England.html,4.025302530253025,76.0,49.7,91,https://www.tripadvisor.co.uk/Restaurant_Review-g186337-d18719875-Reviews-Slim_s-Liverpool_Merseyside_England.html,305,303,241.0,20.0,18.0,12.0,12.0,303.0,4.538,65.0,49.6,11.0,0.10000000000000142
https://www.tripadvisor.co.uk/Restaurant_Review-g186337-d18917230-Reviews-La_Famiglia-Liverpool_Merseyside_England.html,4.184115523465704,28.0,18.3,97,https://www.tripadvisor.co.uk/Restaurant_Review-g186337-d18917230-Reviews-La_Famiglia-Liverpool_Merseyside_England.html,279,277,229.0,14.0,8.0,8.0,8.0,267.0,4.678,45.0,34.4,-17.0,-16.099999999999998
https://www.tripadvisor.co.uk/Restaurant_Review-g186337-d19170337-Reviews-Fogo_Brazil_bar_grill-Liverpool_Merseyside_England.html,4.198473282442748,22.0,14.4,133,https://www.tripadvisor.co.uk/Restaurant_Review-g186337-d19170337-Reviews-Fogo_Brazil_bar_grill-Liverpool_Merseyside_England.html,525,524,428.0,24.0,12.0,4.0,6.0,474.0,4.823,17.0,13.0,5.0,1.4000000000000004
https://www.tripadvisor.co.uk/Restaurant_Review-g186337-d1917227-Reviews-Viva_Brazil-Liverpool_Merseyside_England.html,4.016666666666667,80.0,52.3,23,https://www.tripadvisor.co.uk/Restaurant_Review-g186337-d1917227-Reviews-Viva_Brazil-Liverpool_Merseyside_England.html,0,200,1263.0,425.0,186.0,110.0,95.0,2079.0,4.275,100.0,76.3,-20.0,-24.0
https://www.tripadvisor.co.uk/Restaurant_Review-g186337-d19235075-Reviews-The_Bridewell-Liverpool_Merseyside_England.html,4.266666666666667,11.0,7.2,146,https://www.tripadvisor.co.uk/Restaurant_Review-g186337-d19235075-Reviews-The_Bridewell-Liverpool_Merseyside_England.html,70,70,67.0,3.0,0.0,0.0,0.0,70.0,4.957,2.5,1.9,8.5,5.300000000000001
https://www.tripadvisor.co.uk/Restaurant_Review-g186337-d19330285-Reviews-Smoke_Dough-Liverpool_Merseyside_England.html,4.064308681672026,67.0,43.8,89,https://www.tripadvisor.co.uk/Restaurant_Review-g186337-d19330285-Reviews-Smoke_Dough-Liverpool_Merseyside_England.html,624,622,503.0,47.0,21.0,21.0,30.0,622.0,4.563,58.0,44.3,9.0,-0.5
https://www.tripadvisor.co.uk/Restaurant_Review-g186337-d19409648-Reviews-Christakis-Liverpool_Merseyside_England.html,4.254509018036072,14.0,9.2,151,https://www.tripadvisor.co.uk/Restaurant_Review-g186337-d19409648-Reviews-Christakis-Liverpool_Merseyside_England.html,498,499,448.0,13.0,14.0,6.0,8.0,489.0,4.814,19.0,14.5,-5.0,-5.300000000000001
https://www.tripadvisor.co.uk/Restaurant_Review-g186337-d19418223-Reviews-Six_by_Nico-Liverpool_Merseyside_England.html,3.9829290206648698,97.0,63.4,35,https://www.tripadvisor.co.uk/Restaurant_Review-g186337-d19418223-Reviews-Six_by_Nico-Liverpool_Merseyside_England.html,372,371,251.0,54.0,29.0,20.0,17.0,371.0,4.353,94.0,71.8,3.0,-8.399999999999999
https://www.tripadvisor.co.uk/Restaurant_Review-g186337-d19527481-Reviews-Jimmy_s_Liverpool-Liverpool_Merseyside_England.html,4.195035460992908,24.0,15.7,80,https://www.tripadvisor.co.uk/Restaurant_Review-g186337-d19527481-Reviews-Jimmy_s_Liverpool-Liverpool_Merseyside_England.html,188,188,166.0,10.0,7.0,3.0,2.0,188.0,4.782,22.0,16.8,2.0,-1.1000000000000014
https://www.tripadvisor.co.uk/Restaurant_Review-g186337-d19579647-Reviews-China_Dina-Liverpool_Merseyside_England.html,4.161764705882353,35.0,22.9,137,https://www.tripadvisor.co.uk/Restaurant_Review-g186337-d19579647-Reviews-China_Dina-Liverpool_Merseyside_England.html,136,136,110.0,14.0,7.0,3.0,2.0,136.0,4.669,46.0,35.1,-11.0,-12.200000000000003
https://www.tripadvisor.co.uk/Restaurant_Review-g186337-d19642539-Reviews-Potts_Coffee-Liverpool_Merseyside_England.html,4.222222222222222,16.0,10.5,39,https://www.tripadvisor.co.uk/Restaurant_Review-g186337-d19642539-Reviews-Potts_Coffee-Liverpool_Merseyside_England.html,78,78,74.0,3.0,0.0,0.0,1.0,78.0,4.91,6.0,4.6,10.0,5.9
https://www.tripadvisor.co.uk/Restaurant_Review-g186337-d1973175-Reviews-Bem_Brasil-Liverpool_Merseyside_England.html,4.02,79.0,51.6,32,https://www.tripadvisor.co.uk/Restaurant_Review-g186337-d1973175-Reviews-Bem_Brasil-Liverpool_Merseyside_England.html,0,200,734.0,378.0,161.0,76.0,76.0,1425.0,4.135,117.0,89.3,-38.0,-37.699999999999996
https://www.tripadvisor.co.uk/Restaurant_Review-g186337-d21290591-Reviews-Lerpwl-Liverpool_Merseyside_England.html,4.151960784313725,38.0,24.8,114,https://www.tripadvisor.co.uk/Restaurant_Review-g186337-d21290591-Reviews-Lerpwl-Liverpool_Merseyside_England.html,136,136,121.0,5.0,4.0,1.0,5.0,136.0,4.735,30.5,23.3,7.5,1.5
